Island,Site,Plot,SY,Date_Survey,Pore_water,Inside_plot,Survey_start,Survey_end,Personnel,Water_depth,Temp,DO_percent,DO_mg_L,Salinity_ppt,SPC,TDS,pH,Syringe_used,Notes,water_depth_below_zero,Salinity_ppt_above_70ppt,TDS_above_70ppt
St Thomas,Brewers Bay,B,2022,9/20/2021,yes,yes,9:54,NA,"KWG, AND, HAS, AJH",1,27.6,85.5,6.4,8.46,14582,9567,,Yes,"Over 30 red saplings in plot not captured by regeneration subplots, lots of white and some red propagules on the ground, lots of Herbivory on the white mangrove leaves",-2,94.99,
St Thomas,Brewers Bay,B,2023,8/18/2022,no,yes,12:40,12:48,"AND, AJH",5,29.2,54.6,3.97,8.72,15053,9803,,no,standing water at site; H2O slick (recent rain),-2,91.61,
St Thomas,Brewers Bay,B,2023,8/18/2022,no,yes,12:40,12:48,"AND, AJH",11.5,29,66,4.57,10.66,18138,11793,,no,standing water at site; H2O slick (recent rain),-1.5,90,
St Thomas,Brewers Bay,C,2022,9/21/2021,yes,yes,12:15,NA,"KWG, AND, HAS, AJH",1,28.8,88,6.29,13.41,22328,14763,,Yes,Red and white propagules on the ground,-1.5,87.96,
St Thomas,Brewers Bay,B,2022,3/2/2022,yes,yes,15:14,15:31,"AND, ZB, ET",0,26.9,83.1,6.11,14.36,23821,15511,,yes,pore water at site siphoned from puddles,-1.5,87.84,
St Thomas,Brewers Bay,A,2023,8/18/2022,no,yes,12:28,12:35,"AND, AJH",13.5,29.4,62,4.3,15.72,25886,16828,,no,standing water at site,-1.2,87.62,
St Thomas,Brewers Bay,A,2023,8/18/2022,no,yes,12:28,12:35,"AND, AJH",8,29.4,57.4,3.91,18.02,29321,19061,,no,standing water at site,-1,87.58,
St Thomas,Brewers Bay,B,2023,2/9/2023,,,N/A,N/A,"AJH,JS",1,26.2,96.7,7.09,16.94,29876,19619,,yes,PH: 7.65,-0.9,87.39,
St Thomas,Brewers Bay,C,2023,8/18/2022,no,yes,12:53,12:59,"AND, AJH",11,29.7,70.6,4.83,19.13,30960,20128,,no,standing water at site,-0.6,87.29,
St Thomas,Brewers Bay,A,2023,8/18/2022,no,yes,12:28,12:35,"AND, AJH",8.5,27.8,51.2,3.46,19.25,31140,20241,,no,standing water at site,,86.85,
St Thomas,Brewers Bay,B,2023,2/9/2023,,,N/A,N/A,"AJH,JS",5,26,81.8,5.94,20.2,32401,21059,,yes,PH: 7.76,,85.9,
St Thomas,Brewers Bay,C,2023,8/18/2022,no,yes,12:53,12:59,"AND, AJH",15.5,29.5,72.3,4.89,20.51,32968,21431,,no,standing water at site,,85.84,
St Thomas,Brewers Bay,B,2023,2/9/2023,,,N/A,N/A,"AJH,JS",7.5,25.8,77.3,5.58,21.69,34560,22465,,no,PH: 7.74,,85.63,
St Thomas,Brewers Bay,C,2023,8/18/2022,no,yes,12:53,12:59,"AND, AJH",14,29.8,75.2,5,23.49,37273,24229,,no,standing water at site,,85.48,
St Thomas,Brewers Bay,A,2023,2/9/2023,N/A,N/A,N/A,N/A,"AJH,JS",24,26.9,87.7,6.1,25.19,39570,25717,,no,PH: 7.75,,83.61,
St Thomas,Brewers Bay,A,2023,2/9/2023,N/A,N/A,N/A,N/A,"AJH,JS",23,26.6,88.8,6.14,26.64,41623,27055,,no,PH:7.79,,83.02,
St Thomas,Brewers Bay,B,2022,9/20/2021,no,yes,9:54,NA,"KWG, AND, HAS, AJH",4,28.3,42.7,2.81,28.96,43740,28340,,No,"Over 30 red saplings in plot not captured by regeneration subplots, lots of white and some red propagules on the ground, lots of Herbivory on the white mangrove leaves",,75.83,
St Thomas,Brewers Bay,A,2023,2/9/2023,N/A,N/A,N/A,N/A,"AJH,JS",32,26.2,95.4,6.49,28.61,44389,28856,,no,PH: 7.86,,74.31,
St Thomas,Brewers Bay,C,2022,9/21/2021,yes,yes,12:15,NA,"KWG, AND, HAS, AJH",0,28.4,73,4.81,28.71,44547,28995,,Yes,Red and white propagules on the ground,,72.43,
St Thomas,Brewers Bay,C,2023,2/9/2023,,,N/A,N/A,"AJH,JS",1,26,96.1,6.64,28.97,44867,29167,,yes,PH: 7.74,,71.83,
St Thomas,Brewers Bay,B,2022,9/20/2021,No,No,9:54,NA,"KWG, AND, HAS, AJH",8,29.2,40.1,2.56,30.15,46801,29277,,No,"Over 30 red saplings in plot not captured by regeneration subplots, lots of white and some red propagules on the ground, lots of Herbivory on the white mangrove leaves",,71.75,
St Thomas,Brewers Bay,C,2023,2/9/2023,,,N/A,N/A,"AJH,JS",5.4,26.2,94.2,6.48,29.17,45148,29348,,no,PH: 7.82,,71.38,
St Thomas,Brewers Bay,C,2022,9/21/2021,no,yes,12:15,NA,"KWG, AND, HAS, AJH",5,28.9,32.7,2.69,29.41,45523,29716,,No,Red and white propagules on the ground,,70.7,
St Thomas,Brewers Bay,C,2023,2/9/2023,,,N/A,N/A,"AJH,JS",1,25.9,95.8,6.61,29.75,45935,29857,,yes,PH: 7.71,,,
St Thomas,Brewers Bay,B,2022,3/2/2022,yes,yes,15:14,15:31,"AND, ZB, ET",0,26.4,85.6,5.74,30.15,46494,30209,,yes,pore water at site siphoned from puddles,,,
St Thomas,Brewers Bay,B,2022,3/2/2022,yes,yes,15:14,15:31,"AND, ZB, ET",2.1,26.7,91.4,6,34.99,53115,34528,,yes,pore water at site siphoned from puddles,,,
St Thomas,Brewers Bay,B,2022,3/2/2022,no,no,15:14,15:21,"AND, ZB, ET",21.1,27.5,91.4,5.34,35.33,53591,34855,,no,lagoon water west of the site,,,
St Thomas,Brewers Bay,B,2022,3/2/2022,no,no,15:14,15:21,"AND, ZB, ET",28.2,28.4,97.1,6.13,35.38,53692,34894,,no,lagoon water west of the site,,,
St Thomas,Brewers Bay,B,2022,3/2/2022,no,no,15:14,15:21,"AND, ZB, ET",33.6,27.9,92.1,5.72,35.41,53714,34911,,no,lagoon water west of the site,,,
St Thomas,Brewers Bay,A,2022,3/2/2022,no,no,15:00,15:04,"AND, ZB, ET",11.8,28.6,96.4,6.2,35.3,53740,34950,,no,lagoon water south of the site,,,
St Thomas,Brewers Bay,A,2022,3/2/2022,no,no,15:00,15:04,"AND, ZB, ET",33.5,28.8,102.6,6.51,35.48,53837,34980,,no,lagoon water south of the site,,,
St Thomas,Brewers Bay,A,2022,3/2/2022,no,no,15:00,15:04,"AND, ZB, ET",37.1,28.3,107.8,6.88,35.52,53861,35015,,no,lagoon water south of the site,,,
St Thomas,Brewers Bay,A,2022,3/2/2022,yes,yes,14:46,15:05,"AND, ZB, ET",6.5,27.5,95.6,6.18,25.68,54042,35139,,yes,"pore water at site, tide coming in",,,
St Thomas,Brewers Bay,A,2022,3/2/2022,yes,yes,14:46,15:05,"AND, ZB, ET",0,27.7,99.4,6.42,35.68,54085,35153,,yes,"pore water at site, tide coming in",,,
St Thomas,Brewers Bay,C,2022,3/2/2022,no,no,15:40,15:51,"AND, ZB, ET",10.1,29,113.5,7.21,35.67,54132,35222,,no,lagoon water west of the site,,,
St Thomas,Brewers Bay,A,2022,3/2/2022,yes,yes,14:46,15:05,"AND, ZB, ET",0,27.1,100.5,6.51,35.99,54403,35365,,yes,"pore water at site, tide coming in",,,
St Thomas,Brewers Bay,C,2022,3/2/2022,no,no,15:40,15:51,"AND, ZB, ET",14.8,29.8,117.9,7.53,36.02,54650,35543,,no,lagoon water west of the site,,,
St Thomas,Brewers Bay,C,2022,3/2/2022,no,no,15:40,15:51,"AND, ZB, ET",12.7,28.7,116.3,7.57,36.21,54831,35616,,no,lagoon water west of the site,,,
St Thomas,Brewers Bay,C,2022,3/2/2022,yes,yes,15:40,15:51,"AND, ZB, ET",2.1,26.9,75.9,5.89,36.75,55782,36055,,yes,pore water at site siphoned from puddles,,,
St Thomas,Brewers Bay,C,2022,3/2/2022,yes,yes,15:40,15:51,"AND, ZB, ET",1.7,26.3,94,6.11,37.01,55828,36284,,yes,pore water at site siphoned from puddles,,,
St Thomas,Brewers Bay,C,2022,3/2/2022,yes,yes,15:40,15:51,"AND, ZB, ET",0,26.3,98.3,6.42,37.41,56342,36619,,yes,pore water at site siphoned from puddles,,,
St Thomas,Brewers Bay,A,2023,11/22/2022,NA,NA,NA,NA,"TNT, KH",8.2,27.8,,,25,,,,N,,,,
St Thomas,Brewers Bay,A,2023,11/22/2022,NA,NA,NA,NA,"TNT, KH",6.5,28.4,,,25,,,,N,,,,
St Thomas,Brewers Bay,A,2023,11/22/2022,NA,NA,NA,NA,"TNT, KH",19.2,28.1,,,24,,,,N,,,,
St Thomas,Brewers Bay,C,2023,11/22/2022,NA,NA,NA,NA,"TNT,KH",70,26.6,,,16,,,,NA,No YSI,,,
St Thomas,Brewers Bay,C,2023,11/22/2022,NA,NA,NA,NA,"TNT,KH",12.8,27.3,,,16,,,,NA,No YSI,,,
St Thomas,Brewers Bay,B,2023,11/22/2022,NA,NA,NA,NA,"TNT, KH",6.8,27.1,,,14,,,,N,,,,
St Thomas,Brewers Bay,B,2023,11/22/2022,NA,NA,NA,NA,"TNT, KH",5.5,27.1,,,13,,,,N,,,,
St Thomas,Brewers Bay,C,2023,11/22/2022,NA,NA,NA,NA,"TNT,KH",89,27.4,,,10,,,,No,No YSI,,,
St Thomas,Brewers Bay,B,2023,11/22/2022,NA,NA,NA,NA,"TNT, KH",2.3,26.3,,,2,,,,N,,,,
St Thomas,Compass Point,C,2024,6/11/2024,,NA,NA,NA,,5.7,36.8,57.5,3.71,8.81,15335,10010,8.84,Y,,,,
St Thomas,Compass Point,C,2024,6/11/2024,,NA,NA,NA,,8.9,36.6,62.5,4.05,7.31,12936,8410,7.98,Y,,,,
St Thomas,Compass Point,C,2024,6/11/2024,,NA,NA,NA,,6.8,39.3,121.6,7.5,11.62,19820,12912,7.91,Y,,,,
St Thomas,Compass Point,A,2023,7/25/2023,NA,NA,NA,NA,NA,2,35.5,105.4,5.31,60.55,86153,55902,7.91,Y,,,,
St Thomas,Compass Point,A,2023,7/25/2023,NA,NA,NA,NA,NA,5.5,34.7,156.5,7.25,63.78,90505,58831,7.91,N,,,,
St Thomas,Compass Point,A,2023,7/25/2023,NA,NA,NA,NA,NA,2,37.8,106.6,5.22,58.39,83836,54573,7.9,Y,,,,
St Thomas,Compass Point,A,2024,6/11/2024,,NA,NA,NA,,28,30.7,5.7,0.38,29.99,46498,30208,7.71,N,"taken in pond, ",,,
St Thomas,Compass Point,B,2024,6/11/2024,,NA,NA,NA,,8,34.8,13.8,0.71,32.71,50687,32849,7.49,Y,,,,
St Thomas,Compass Point,B,2024,6/11/2024,,NA,NA,NA,,8,36.7,16.3,1.52,15.9,24605,17156,7.41,Y,,,,
St Thomas,Compass Point,A,2024,6/11/2024,,NA,NA,NA,,24.6,30.4,4.2,0.29,28.73,44440,28893,7.4,N,"taken in pond, ",,,
St Thomas,Compass Point,B,2024,6/11/2024,,NA,NA,NA,,10.9,35.8,31.5,1.72,32.7,50467,32667,7.39,Y,,,,
St Thomas,Compass Point,B,2023,7/25/2023,NA,NA,NA,NA,NA,10.2,31.5,70.4,4.02,45.64,67380,43803,7.2,N,,,,
St Thomas,Compass Point,B,2023,7/25/2023,NA,NA,NA,NA,NA,9.5,30.7,45.5,2.65,43.98,65176,42362,7.15,N,,,,
St Thomas,Compass Point,A,2024,6/11/2024,,NA,NA,NA,,27.8,30.4,5.9,0.35,29.26,45344,29487,7.14,N,"taken in pond, ",,,
St Thomas,Compass Point,B,2023,7/25/2023,NA,NA,NA,NA,NA,10.3,31,45.4,2.6,45.64,67338,43769,7.14,N,,,,
St Thomas,Compass Point,C,2023,7/25/2023,NA,NA,NA,NA,NA,33.5,30.9,22.5,1.35,38.26,57716,37525,7.05,N,,,,
St Thomas,Compass Point,C,2023,7/25/2023,NA,NA,NA,NA,NA,41.2,30.6,19,0.81,40.05,60025,39042,6.92,N,,,,
St Thomas,Compass Point,C,2023,7/25/2023,NA,NA,NA,NA,NA,41.2,30.9,41.2,2.43,39.1,58796,38228,6.83,N,,,,
St Thomas,Compass Point,C,2022,10/14/2021,yes,yes,14:05,NA,"HAS, KWG, AND, LU, LP, KH",9.1,35.6,53.1,3.17,20.5,31395,20131,,No,Lots of AVGE saplings,,,
St Thomas,Compass Point,B,2022,10/14/2021,yes,yes,12:35,NA,"HAS, KWG, AND, LU, LP, KH",4.2,37,130.3,7.88,20.39,33015,21487,,Yes,,,,
St Thomas,Compass Point,A,2022,2/24/2022,yes,yes,9:10,9:12,"AND, AJH, LU, KH",0,23.5,78.5,5.26,21.33,33787,21940,,yes,pore water at site,,,
St Thomas,Compass Point,C,2022,10/14/2021,yes,yes,14:05,NA,"HAS, KWG, AND, LU, LP, KH",10,33.8,53.8,3.37,21.92,35155,22859,,Yes,Lots of AVGE saplings,,,
St Thomas,Compass Point,B,2022,10/14/2021,yes,yes,12:35,NA,"HAS, KWG, AND, LU, LP, KH",4.5,33.2,36.3,2.28,22.45,35915,23345,,Yes,,,,
St Thomas,Compass Point,C,2022,10/14/2021,yes,yes,14:05,NA,"HAS, KWG, AND, LU, LP, KH",8,32.5,76.1,4.81,22.99,36558,23798,,Yes,Lots of AVGE saplings,,,
St Thomas,Compass Point,C,2022,2/24/2022,yes,yes,9:38,9:43,"AND, AJH, LU, KH",2.6,26,112.9,8.34,23.94,37762,24503,,yes,pore water at site,,,
St Thomas,Compass Point,B,2022,10/14/2021,yes,yes,12:35,NA,"HAS, KWG, AND, LU, LP, KH",5.7,37.1,108.4,6.38,23.64,37645,24729,,Yes,,,,
St Thomas,Compass Point,C,2022,2/24/2022,yes,yes,9:38,9:43,"AND, AJH, LU, KH",3.9,26,112.4,7.88,27.54,42864,27871,,yes,pore water at site,,,
St Thomas,Compass Point,A,2022,10/14/2021,yes,yes,9:47,NA,"HAS, KWG, AND, LU, LP, KH",1,28,7.5,,29.6,45948,29827,,Yes,,,,
St Thomas,Compass Point,A,2022,10/14/2021,yes,yes,9:47,NA,"HAS, KWG, AND, LU, LP, KH",2,28.2,81.9,5.34,31.6,47833,31069,,Yes,,,,
St Thomas,Compass Point,A,2022,10/14/2021,yes,yes,9:47,NA,"HAS, KWG, AND, LU, LP, KH",2,28.4,86,5.6,31.3,47945,31128,,Yes,,,,
St Thomas,Compass Point,A,2022,2/24/2022,no,no,9:10,9:12,"AND, AJH, LU, KH",7,23.2,70.2,4.42,37.91,57048,37174,,no,sampled salt pond just outside plot,,,
St Thomas,Compass Point,A,2022,2/24/2022,no,no,9:10,9:12,"AND, AJH, LU, KH",15.1,23.8,72.2,4.76,38.33,57488,37371,,no,sampled salt pond just outside plot,,,
St Thomas,Compass Point,A,2022,2/24/2022,no,no,9:10,9:12,"AND, AJH, LU, KH",13.8,24,82,5.26,38.36,57527,37395,,no,sampled salt pond just outside plot,,,
St Thomas,Compass Point,A,2023,7/7/2022,yes,yes,9:50,9:55,"KH, MG",0,27.3,27.4,1.74,39.02,58518,38041,,yes,sampled from holes/puddles inside the plot,,,
St Thomas,Compass Point,A,2023,7/7/2022,yes,yes,9:50,9:55,"KH, MG",0,27.2,57.3,3.63,39.35,58920,38308,,yes,sampled from holes/puddles inside the plot,,,
St Thomas,Compass Point,A,2023,7/7/2022,yes,yes,9:50,9:55,"KH, MG",0,27.7,67,4.2,40.7,60777,39519,,yes,sampled from holes/puddles inside the plot,,,
St Thomas,Compass Point,B,2023,7/7/2022,yes,yes,10:21,10:25,"KH, MG",7.5,31.2,68.5,4.03,40.62,60810,39525,,yes,sampled from holes/puddles inside the plot,,,
St Thomas,Compass Point,B,2023,7/7/2022,yes,yes,10:21,10:25,"KH, MG",6.6,31.1,125.6,7.54,40.65,60891,39618,,yes,sampled from holes/puddles inside the plot,,,
St Thomas,Compass Point,A,2023,7/7/2022,no,no,10:07,10:12,"KH, MG",21.5,31.2,143.7,9.07,40.77,61147,39749,,no,sampled pond just outside the plot,,,
St Thomas,Compass Point,B,2023,7/7/2022,yes,yes,10:21,10:25,"KH, MG",6.9,32.5,88.5,5.12,40.88,61234,39807,,yes,sampled from holes/puddles inside the plot,,,
St Thomas,Compass Point,B,2023,7/7/2022,no,no,10:16,10:20,"KH, MG",7.7,33.1,204.7,11.98,40.92,61291,39820,,no,sampled pond just outside the plot,,,
St Thomas,Compass Point,A,2023,7/7/2022,no,no,10:07,10:12,"KH, MG",13.7,31.4,139.1,8.69,41.03,61340,39862,,no,sampled pond just outside the plot,,,
St Thomas,Compass Point,A,2023,7/7/2022,no,no,10:07,10:12,"KH, MG",18,31.3,144.9,8.75,41.02,61346,39877,,no,sampled pond just outside the plot,,,
St Thomas,Compass Point,B,2023,7/7/2022,no,no,10:16,10:20,"KH, MG",9,33,236.6,13.82,40.96,61382,39928,,no,sampled pond just outside the plot,,,
St Thomas,Compass Point,B,2022,2/24/2022,yes,yes,9:24,9:29,"AND, AJH, LU, KH",7.5,22.8,35.5,2.37,41.42,61518,39994,,no,"standing water at site, sampled with jar",,,
St Thomas,Compass Point,B,2023,7/7/2022,no,no,10:16,10:20,"KH, MG",6,31.1,146.8,8.75,41.32,61789,40178,,no,sampled pond just outside the plot,,,
St Thomas,Compass Point,B,2022,2/24/2022,yes,yes,9:24,9:29,"AND, AJH, LU, KH",10,23.1,28.5,1.6,41.61,61840,40180,,no,"standing water at site, sampled with jar",,,
St Thomas,Compass Point,B,2022,2/24/2022,yes,yes,9:24,9:29,"AND, AJH, LU, KH",6,22.2,38.2,2.53,41.68,61866,40214,,no,"standing water at site, sampled with jar",,,
St Thomas,Compass Point,C,2023,7/7/2022,no,no,10:33,10:38,"KH, MG",6.4,34.4,252.6,14.38,42.21,63099,41019,,no,sampled pond just outside the plot,,,
St Thomas,Compass Point,C,2023,7/7/2022,no,no,10:33,10:38,"KH, MG",5.1,35.3,296.6,16.44,42.39,63378,41191,,no,sampled pond just outside the plot,,,
St Thomas,Compass Point,C,2023,7/7/2022,no,no,10:33,10:38,"KH, MG",4,36.6,90.5,5.28,45.73,67438,43839,,no,sampled pond just outside the plot,,,
St Thomas,Compass Point,A,2022,2/24/2022,yes,yes,9:10,9:12,"AND, AJH, LU, KH",0,22.5,75.1,4.93,47.2,68981,44834,,yes,pore water at site,,,
St Thomas,Compass Point,A,2022,2/24/2022,yes,yes,9:10,9:12,"AND, AJH, LU, KH",0,23,74.3,4.83,47.46,69397,45146,,yes,pore water at site,,,
St Thomas,Compass Point,C,2023,7/7/2022,yes,yes,10:42,10:45,"KH, MG",2.5,36.2,102.7,5.45,47.35,67782,45318,,yes,sampled from holes/puddles inside the plot,,,
St Thomas,Compass Point,C,2023,7/7/2022,yes,yes,10:42,10:45,"KH, MG",3,34.5,83,4.46,48.85,71657,46577,,yes,sampled from holes/puddles inside the plot,,,
St Thomas,Compass Point,C,2022,2/24/2022,yes,yes,9:38,9:43,"AND, AJH, LU, KH",2.5,24.4,80.1,4.96,51.94,75053,48789,,yes,pore water at site,,,
St Thomas,Compass Point,C,2023,7/7/2022,yes,yes,10:42,10:45,"KH, MG",5.8,34.1,82,4.36,52.06,75699,49200,,yes,sampled from holes/puddles inside the plot,,,
St Thomas,Compass Point,C,2023,2/9/2023,NA,NA,NA,NA,"TNT,KH",4.5,32.4,249.9,14.64,47.33,,,,,,,,
St Thomas,Compass Point,B,2023,2/9/2023,NA,NA,NA,NA,"TNT,KH",9.7,28.8,282.1,17.32,42.55,,,,,,,,
St Thomas,Compass Point,B,2023,2/9/2023,NA,NA,NA,NA,"TNT,KH",10.2,26.1,82.8,5.3,41.97,,,,,,,,
St Thomas,Compass Point,C,2023,2/9/2023,NA,NA,NA,NA,"TNT,KH",6.3,32.2,227.4,13.6,41.75,,,,,,,,
St Thomas,Compass Point,B,2023,2/9/2023,NA,NA,NA,NA,"TNT,KH",10.5,29.1,168.5,10.46,41.63,,,,,,,,
St Thomas,Compass Point,C,2023,2/9/2023,NA,NA,NA,NA,"TNT,KH",3.5,32.3,236.1,13.83,41.42,,,,,,,,
St Thomas,Compass Point,A,2023,2/9/2023,NA,NA,NA,NA,"TNT,KH",1.5,29.5,30.2,2,34,,,,,,,,
St Thomas,Compass Point,A,2023,2/9/2023,NA,NA,NA,NA,"TNT,KH",2,29.6,51.2,3.38,34,,,,,,,,
St Thomas,Compass Point,A,2023,2/9/2023,NA,NA,NA,NA,"TNT,KH",2,29.4,60.1,3.99,33,,,,,,,,
St John,Francis Bay,A,2023,2/23/2023,NA,NA,NA,NA,,11.8,32.3,195.5,9.99,41.6,69400,45093,8.16,N,OUTSIDE OF PLOT ,,,
St John,Francis Bay,A,2023,2/23/2023,NA,NA,NA,NA,,13.2,32.5,150.8,8.92,47.32,69571,45213,8.14,N,OUTSIDE OF PLOT ,,,
St John,Francis Bay,A,2023,2/23/2023,NA,NA,NA,NA,,12.7,33.5,149.9,8.84,47.72,69753,45345,8.11,N,OUTSIDE OF PLOT ,,,
St John,Francis Bay,B,2023,2/23/2023,NA,NA,NA,NA,,7,34.7,66.7,9.21,48.1,70699,45953,8.11,N,EDGE OF PLOT,,,
St John,Francis Bay,B,2023,2/23/2023,NA,NA,NA,NA,,12.8,33.3,169.9,9.53,47.49,69845,48395,8.11,N,OUTSIDE OF PLOT ,,,
St John,Francis Bay,B,2023,2/23/2023,NA,NA,NA,NA,,9.8,33.4,154.9,8.68,47.33,69626,45257,8.09,N,OUTSIDE OF PLOT ,,,
St John,Francis Bay,C,2023,2/23/2023,NA,NA,NA,NA,,5.6,30,145.6,8.56,47.5,69760,45320,8.05,N,OUTSIDE OF PLOT ,,,
St John,Francis Bay,C,2023,2/23/2023,NA,NA,NA,NA,,5,30.3,165.6,9.74,47.22,58812,45054,8.02,N,"all Francis sites dry, no pore water, sampled at center of pond. SPC too high to read accurately",,,
St John,Francis Bay,C,2023,2/23/2023,NA,NA,NA,NA,,8.5,31.7,118.1,6.71,47.21,69965,45160,8.02,N,OUTSIDE OF PLOT ,,,
St John,Francis Bay,B,2024,7/17/2024,,,12:02,NA,,14.3,33.6,95.4,6,21.93,35146,22845,7.93,N,,,,
St John,Francis Bay,B,2024,7/17/2024,,,12:02,NA,"AND, JS",11,33.6,91.2,5.72,21.59,34722,22615,7.83,N,,,,
St John,Francis Bay,A,2024,7/17/2024,,,12:15,NA,,6.7,36.5,89.1,5.41,22.35,35917,23342,7.83,N,,,,
